key	a_010101	a_010000	a_020000	a_030000	a_050000	a_060000	a_110000	a_120000	a_180000
fde18	745	10	90	45	299	0	31	165	32
fde18	420	160	0	12	597	0	18	92	141
fde18	525	20	86	0	524	0	49	88	148
fde18	630	10	0	38	471	15	4	212	55
fde18	480	10	35	0	15	598	96	131	60
fde18	653	49	33	0	356	0	77	200	27
fde18	510	55	87	29	90	8	176	344	76
fde18	569	70	199	20	214	0	125	175	68
fde18	578	170	60	50	0	0	131	298	93
fde18	700	120	10	0	354	0	0	106	115
fde18	495	218	40	0	225	0	135	220	107
fde18	658	15	79	10	225	0	95	232	66
fde18	630	214	80	116	0	30	68	190	96
fde18	465	24	161	45	509	0	60	95	81
fde18	760	44	71	14	182	0	57	215	97
fde18	550	57	25	15	0	210	85	320	68
fde18	573	87	20	71	239	0	93	176	136
fde18	540	148	0	0	547	0	51	142	12
fde18	570	0	35	63	90	450	30	150	52
fde18	588	77	150	5	300	120	85	0	111
fde18	840	70	30	0	398	0	0	5	80
fde18	450	30	0	0	515	0	57	268	58
fde18	230	55	65	38	865	0	50	5	114
fde18	645	98	80	50	90	0	90	147	52
fde18	510	0	80	30	550	0	39	126	45
fde18	780	36	42	0	0	0	63	459	50
fde18	565	0	20	0	825	0	0	0	28
fde18	658	117	364	0	30	155	56	60	0
fde18	550	60	42	15	302	0	0	135	218
fde18	566	45	15	50	207	0	135	274	115
fde18	240	60	15	0	805	0	15	280	15
fde18	330	65	156	20	214	0	41	423	61
fde18	450	145	40	0	387	0	45	350	13
fde18	620	55	6	0	499	155	0	70	35
fde18	825	15	33	60	60	60	0	285	87
fde18	215	23	232	0	853	0	46	54	12
fde18	390	0	0	5	504	0	69	281	142
fde18	460	58	331	42	272	0	60	100	97
fde18	1140	0	60	0	50	0	30	15	35
fde18	516	47	69	138	90	0	82	350	103
fde18	770	272	28	0	0	0	97	223	50
fde18	660	110	92	0	0	285	70	78	75
fde18	568	0	135	50	268	0	73	140	79
fde18	390	23	12	82	425	8	122	245	78
fde18	628	7	47	157	307	0	101	20	53
fde18	505	24	120	0	625	0	30	0	51
fde18	690	5	30	59	110	30	52	111	193
fde18	480	30	0	5	610	0	30	240	45
fde18	350	0	15	43	415	25	30	480	72
fde18	480	40	0	0	565	0	10	194	63
fde18	480	42	183	0	330	0	25	270	25
fde18	180	71	0	0	927	0	44	165	38
fde18	360	20	13	0	550	0	90	285	87
fde18	910	30	115	15	150	90	30	40	45
fde18	540	60	118	0	344	0	49	287	42
fde18	750	0	0	0	315	0	78	167	22
fde18	930	80	20	0	202	0	0	4	9
fde18	610	100	80	0	330	0	25	138	82
fde18	465	64	0	0	820	0	0	35	31
fde18	440	120	18	0	615	0	45	60	72
fde18	360	120	45	35	0	380	29	310	131
fde18	360	107	211	0	255	0	35	318	64
fde18	0	65	20	0	1080	170	15	0	86
fde18	598	52	20	0	480	79	15	110	41
fde18	600	47	171	0	424	0	13	105	80
fde18	285	97	15	0	680	0	0	193	100
fde18	300	0	282	0	705	0	0	153	0
fde18	655	92	90	10	265	0	90	15	123
fde18	540	0	65	19	246	0	15	467	88
fde18	465	66	210	6	0	0	90	365	99
fde18	446	10	151	60	340	25	85	289	34
fde18	510	43	60	15	475	0	151	82	104
fde18	330	70	2	0	820	0	30	150	28
fde18	360	117	30	13	625	0	15	210	30
fde18	480	85	0	0	220	180	5	115	85
fde18	455	163	35	0	670	0	72	40	5
fde18	300	35	65	26	160	300	11	444	69
fde18	680	95	0	0	470	0	30	125	40
fde18	540	30	0	2	0	420	100	15	93
fde18	808	55	50	0	22	95	61	115	79
fde18	446	15	54	25	60	0	50	665	41
fde18	345	15	72	20	361	0	41	416	90
fde18	460	25	0	10	196	105	69	386	152
fde18	425	20	12	0	535	303	0	20	78
fde18	210	120	46	13	681	135	34	105	34
fde18	480	25	5	0	341	270	69	115	58
fde18	465	70	114	5	425	0	50	180	79
fde18	585	111	0	124	167	153	67	145	19
fde18	330	5	5	0	690	0	64	346	0
fde18	600	0	30	0	539	0	0	80	111
fde18	750	40	42	0	0	240	50	193	100
fde18	660	10	245	0	270	0	95	140	20
fde18	335	5	98	0	595	0	25	100	75
fde18	567	42	0	13	180	0	61	514	63
fde18	320	210	227	0	0	0	53	550	60
fde18	540	76	212	16	0	145	70	215	111
fde18	480	15	98	115	278	0	79	310	65
fde18	340	30	10	80	20	405	140	192	121
fde18	462	205	164	0	75	0	105	350	65
fde18	30	65	5	10	1115	0	80	0	135
fde25	510	142	67	22	273	0	115	82	99
fde25	570	45	61	42	420	0	35	67	114
fde25	450	80	144	30	270	0	103	240	99
fde25	800	19	168	17	200	0	40	20	176
fde25	306	0	44	337	525	0	0	78	86
fde25	900	58	138	12	219	0	88	25	0
fde25	815	30	132	25	23	0	0	229	96
fde25	430	35	66	45	565	0	90	21	48
fde25	660	30	35	28	450	0	0	25	52
